
[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Blank
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:40:53
Sample Type=Cal
Mode=IR
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
Cu2230,Cts/S, 4906.,23.28,.4746, 4880., 4913., 4924.
Cu3247,Cts/S, 10920.,41.80,.3828, 10920., 10880., 10960.
Fe2599,Cts/S, 7200.,19.86,.2758, 7185., 7192., 7223.
Fe2599,Cts/S, 16640.,42.04,.2527, 16600., 16620., 16680.
Mg2802,Cts/S, 395200.,1295.,.3277, 395900., 393700., 396000.
Mg2852,Cts/S, 29940.,91.97,.3072, 29910., 29860., 30040.
Ni2216,Cts/S, 18320.,50.22,.2741, 18270., 18370., 18330.
Ni2316,Cts/S, 11500.,44.36,.3856, 11490., 11550., 11470.
Ni2320,Cts/S, 3906.,9.918,.2539, 3901., 3918., 3900.
Zn2062,Cts/S, 14620.,36.60,.2504, 14620., 14580., 14650.
Zn2062,Cts/S, 34410.,107.6,.3126, 34350., 34530., 34340.

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=CalibStd-2
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:44:37
Sample Type=Cal
Mode=IR
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,Cts/S, 3571.,9.792,.2742, 3561., 3580., 3571.
As1937,Cts/S, 3286.,7.609,.2316, 3279., 3294., 3284.
Ca1840,Cts/S, 5583.,17.95,.3214, 5563., 5587., 5598.
Ca3158,Cts/S, 21790.,100.6,.4617, 21680., 21850., 21860.
Co2286,Cts/S, 32410.,64.87,.2002, 32340., 32470., 32430.
Co2388,Cts/S, 20750.,95.16,.4587, 20640., 20790., 20810.
Cu2135,Cts/S, 8615.,11.41,.1325, 8603., 8626., 8616.
Cu2135,Cts/S, 22840.,55.30,.2421, 22790., 22900., 22830.
Cu2230,Cts/S, 9526.,23.68,.2486, 9498., 9542., 9536.
Cu3247,Cts/S, 21380.,73.35,.3431, 21290., 21430., 21400.
Fe2599,Cts/S, 14170.,88.65,.6256, 14070., 14220., 14230.
Fe2599,Cts/S, 32640.,182.2,.5582, 32430., 32730., 32750.
Mg2802,Cts/S, 771000.,3877.,.5029, 767400., 770400., 775100.
Mg2852,Cts/S, 59180.,304.2,.5140, 58830., 59300., 59400.
Ni2216,Cts/S, 35200.,95.86,.2723, 35090., 35270., 35240.
Ni2316,Cts/S, 22050.,29.98,.1360, 22020., 22070., 22070.
Ni2320,Cts/S, 7520.,6.241,.0830, 7516., 7527., 7518.
Zn2062,Cts/S, 28760.,170.4,.5925, 28560., 28820., 28880.
Zn2062,Cts/S, 67560.,65.31,.0967, 67500., 67630., 67550.

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=CalibStd-3
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:46:30
Sample Type=Cal
Mode=IR
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,Cts/S, 8522.,45.75,.5368, 8507., 8573., 8486.
As1937,Cts/S, 7857.,30.72,.3910, 7844., 7892., 7834.
Ca1840,Cts/S, 13060.,28.42,.2177, 13050., 13090., 13030.
Ca3158,Cts/S, 51420.,255.5,.4969, 51120., 51540., 51590.
Co2286,Cts/S, 77250.,346.8,.4489, 77150., 77640., 76970.
Co2388,Cts/S, 50040.,332.3,.6641, 49650., 50250., 50210.
Cu2135,Cts/S, 20350.,83.05,.4081, 20320., 20440., 20290.
Cu2135,Cts/S, 53870.,185.0,.3434, 53770., 54080., 53750.
Cu2230,Cts/S, 22490.,61.46,.2733, 22490., 22550., 22420.
Cu3247,Cts/S, 51130.,319.4,.6247, 50760., 51330., 51290.
Fe2599,Cts/S, 34320.,220.9,.6435, 34070., 34460., 34440.
Fe2599,Cts/S, 77460.,429.9,.5550, 76970., 77720., 77700.
Mg2802,Cts/S, 1799000.,30520.,1.697, 1773000., 1791000., 1833000.
Mg2852,Cts/S, 139100.,734.7,.5281, 138300., 139500., 139600.
Ni2216,Cts/S, 83040.,187.1,.2253, 83000., 83240., 82870.
Ni2316,Cts/S, 51940.,185.8,.3578, 51920., 52130., 51770.
Ni2320,Cts/S, 17740.,64.61,.3642, 17720., 17810., 17690.
Zn2062,Cts/S, 68090.,395.5,.5809, 67640., 68380., 68240.
Zn2062,Cts/S, 159300.,646.4,.4058, 159300., 159900., 158600.

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-1
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:48:24
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0079,.0017,21.04, .0062, .0096, .0079
As1937,ppm, .0182,.0047,25.55, .0162, .0150, .0235
Ca1840,ppm, .5046,.0102,2.017, .5153, .5035, .4950
Ca3158,ppm, .5056,.0122,2.408, .5184, .4941, .5043
Co2286,ppm, .5999,.0027,.4523, .6030, .5985, .5982
Co2388,ppm, .5657,.0074,1.317, .5684, .5713, .5572
Cu2135,ppm, -.1380,.0041,2.948, -.1392, -.1414, -.1335
Cu2135,ppm, -.0874,.0005,.5772, -.0872, -.0880, -.0871
Cu2230,ppm, -.0190,.0026,13.86, -.0203, -.0159, -.0207
Cu3247,ppm, .0124,.0092,74.31, .0201, .0151, .0022
Fe2599,ppm, -.0351,.0064,18.09, -.0279, -.0397, -.0377
Fe2599,ppm, -.0344,.0084,24.49, -.0247, -.0386, -.0400
Mg2802,ppm, .1030,.0075,7.247, .1116, .0999, .0976
Mg2852,ppm, .1015,.0062,6.129, .1084, .0998, .0963
Ni2216,ppm, 437.3,5.101,1.166, 443.2, 434.2, 434.5
Ni2316,ppm, 443.3,9.231,2.082, 452.1, 433.7, 444.2
Ni2320,ppm, 438.6,2.353,.5365, 441.4, 437.3, 437.2
Zn2062,ppm, .0290,.0069,23.96, .0368, .0264, .0237
Zn2062,ppm, .0228,.0008,3.535, .0236, .0230, .0220

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-2
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:50:31
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0144,.0099,68.58, .0208, .0192, .0030
As1937,ppm, .0194,.0077,39.73, .0256, .0217, .0108
Ca1840,ppm, .2423,.0027,1.133, .2442, .2436, .2392
Ca3158,ppm, .2366,.0069,2.929, .2432, .2294, .2371
Co2286,ppm, 1.332,.0088,.6626, 1.335, 1.338, 1.322
Co2388,ppm, 1.262,.0034,.2673, 1.261, 1.259, 1.265
Cu2135,ppm, -.1334,.0011,.8221, -.1327, -.1328, -.1347
Cu2135,ppm, -.0841,.0014,1.616, -.0854, -.0843, -.0827
Cu2230,ppm, -.0192,.0064,33.35, -.0193, -.0256, -.0128
Cu3247,ppm, .0084,.0028,32.73, .0096, .0053, .0104
Fe2599,ppm, -.0401,.0030,7.354, -.0424, -.0412, -.0368
Fe2599,ppm, -.0403,.0026,6.456, -.0420, -.0416, -.0373
Mg2802,ppm, .0782,.0008,.9812, .0790, .0775, .0782
Mg2852,ppm, .0766,.0010,1.289, .0756, .0766, .0776
Ni2216,ppm, 469.9,3.698,.7869, 474.2, 467.6, 468.0
Ni2316,ppm, 481.8,7.077,1.469, 481.6, 488.9, 474.8
Ni2320,ppm, 475.1,3.506,.7380, 476.4, 477.7, 471.1
Zn2062,ppm, .0257,.0020,7.853, .0265, .0272, .0234
Zn2062,ppm, .0271,.0011,4.092, .0258, .0275, .0279

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-3
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:52:35
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0101,.0057,56.36, .0124, .0144, .0037
As1937,ppm, .0195,.0075,38.71, .0113, .0262, .0209
Ca1840,ppm, .6974,.0035,.5004, .6933, .6992, .6995
Ca3158,ppm, .6989,.0092,1.310, .6895, .6992, .7078
Co2286,ppm, 6.993,.0160,.2295, 6.983, 7.011, 6.984
Co2388,ppm, 6.862,.0191,.2779, 6.859, 6.844, 6.882
Cu2135,ppm, -.0316,.0028,8.891, -.0322, -.0341, -.0286
Cu2135,ppm, -.0119,.0015,12.94, -.0135, -.0104, -.0117
Cu2230,ppm, -.0106,.0022,20.34, -.0096, -.0131, -.0092
Cu3247,ppm, .0313,.0017,5.467, .0333, .0305, .0302
Fe2599,ppm, -.0498,.0019,3.857, -.0503, -.0476, -.0514
Fe2599,ppm, -.0528,.0032,5.977, -.0505, -.0564, -.0516
Mg2802,ppm, .1684,.0004,.2291, .1688, .1680, .1685
Mg2852,ppm, .1665,.0015,.8727, .1658, .1656, .1682
Ni2216,ppm, 543.6,2.223,.4088, 542.0, 542.8, 546.2
Ni2316,ppm, 557.6,7.782,1.396, 560.8, 548.7, 563.2
Ni2320,ppm, 550.0,2.615,.4754, 548.8, 553.0, 548.3
Zn2062,ppm, .6394,.0011,.1669, .6403, .6382, .6396
Zn2062,ppm, .6387,.0020,.3146, .6392, .6405, .6365

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-4
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:54:35
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0173,.0058,33.69, .0132, .0147, .0240
As1937,ppm, .0190,.0048,25.26, .0242, .0182, .0147
Ca1840,ppm, .3763,.0025,.6746, .3758, .3791, .3740
Ca3158,ppm, .3822,.0002,.0540, .3820, .3824, .3822
Co2286,ppm, 6.398,.0403,.6302, 6.393, 6.360, 6.440
Co2388,ppm, 6.220,.0383,.6163, 6.177, 6.232, 6.250
Cu2135,ppm, -.0069,.0009,13.68, -.0074, -.0076, -.0058
Cu2135,ppm, .0027,.0015,54.75, .0028, .0012, .0041
Cu2230,ppm, -.0043,.0059,139.0, -.0108, .0007, -.0027
Cu3247,ppm, .0296,.0103,34.80, .0411, .0263, .0213
Fe2599,ppm, -.0361,.0037,10.14, -.0323, -.0363, -.0397
Fe2599,ppm, -.0364,.0007,1.954, -.0360, -.0361, -.0373
Mg2802,ppm, .1150,.0013,1.128, .1136, .1153, .1162
Mg2852,ppm, .1137,.0009,.7803, .1143, .1140, .1127
Ni2216,ppm, 502.2,6.459,1.286, 497.9, 499.1, 509.6
Ni2316,ppm, 509.6,2.190,.4297, 507.3, 509.6, 511.7
Ni2320,ppm, 504.7,2.943,.5831, 504.0, 502.2, 508.0
Zn2062,ppm, 20.40,.1603,.7860, 20.23, 20.41, 20.55
Zn2062,ppm, 20.89,.1324,.6339, 20.89, 20.77, 21.03

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-5
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:56:38
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0148,.0008,5.615, .0156, .0148, .0139
As1937,ppm, .0186,.0059,31.73, .0228, .0211, .0119
Ca1840,ppm, .3842,.0016,.4279, .3823, .3853, .3850
Ca3158,ppm, .3919,.0074,1.882, .3949, .3973, .3835
Co2286,ppm, 6.555,.0239,.3650, 6.574, 6.561, 6.528
Co2388,ppm, 6.425,.0278,.4333, 6.411, 6.458, 6.408
Cu2135,ppm, -.0047,.0051,108.7, .0009, -.0091, -.0059
Cu2135,ppm, .0067,.0013,18.83, .0081, .0056, .0064
Cu2230,ppm, -.0042,.0010,22.86, -.0038, -.0053, -.0036
Cu3247,ppm, .0363,.0069,19.12, .0394, .0412, .0284
Fe2599,ppm, -.0245,.0027,10.84, -.0260, -.0261, -.0215
Fe2599,ppm, -.0237,.0025,10.36, -.0262, -.0213, -.0237
Mg2802,ppm, .1197,.0012,.9830, .1191, .1211, .1191
Mg2852,ppm, .1176,.0008,.6671, .1171, .1185, .1172
Ni2216,ppm, 516.4,6.790,1.315, 518.2, 522.0, 508.8
Ni2316,ppm, 527.1,4.725,.8965, 525.4, 523.4, 532.4
Ni2320,ppm, 515.4,1.239,.2403, 516.7, 514.9, 514.4
Zn2062,ppm, 26.34,.2269,.8614, 26.21, 26.60, 26.20
Zn2062,ppm, 26.75,.0835,.3122, 26.84, 26.74, 26.67

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-6
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 9:58:33
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0004,.0064,1523., -.0017, -.0046, .0076
As1937,ppm, -.0067,.0060,88.54, -.0135, -.0024, -.0043
Ca1840,ppm, .3734,.0067,1.805, .3763, .3657, .3783
Ca3158,ppm, .3635,.0048,1.321, .3580, .3654, .3670
Co2286,ppm, .0334,.0019,5.773, .0347, .0342, .0311
Co2388,ppm, .0346,.0005,1.566, .0350, .0347, .0340
Cu2135,ppm, -1.302,.0158,1.212, -1.284, -1.314, -1.307
Cu2135,ppm, -.8121,.0082,1.005, -.8029, -.8146, -.8187
Cu2230,ppm, -.0004,.0084,2201., .0092, -.0066, -.0038
Cu3247,ppm, .0082,.0021,25.36, .0084, .0061, .0103
Fe2599,ppm, -.0442,.0036,8.097, -.0472, -.0402, -.0451
Fe2599,ppm, -.0443,.0010,2.298, -.0453, -.0441, -.0433
Mg2802,ppm, .0408,.0004,.9250, .0404, .0409, .0411
Mg2852,ppm, .0401,.0011,2.711, .0389, .0403, .0410
Ni2216,ppm, 7.580,.0208,.2743, 7.572, 7.565, 7.604
Ni2316,ppm, 7.580,.0406,.5358, 7.550, 7.564, 7.626
Ni2320,ppm, 7.537,.0443,.5877, 7.508, 7.516, 7.588
Zn2062,ppm, .1417,.0079,5.575, .1507, .1383, .1361
Zn2062,ppm, .1365,.0012,.8968, .1360, .1357, .1379

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-7
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 10:00:26
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0041,.0037,88.99, .0036, .0008, .0080
As1937,ppm, -.0078,.0096,122.7, .0001, -.0184, -.0050
Ca1840,ppm, .6281,.0047,.7486, .6237, .6330, .6275
Ca3158,ppm, .6045,.0094,1.561, .5957, .6033, .6144
Co2286,ppm, -.0043,.0010,23.67, -.0049, -.0049, -.0031
Co2388,ppm, -.0064,.0029,44.88, -.0044, -.0098, -.0052
Cu2135,ppm, -1.171,.0090,.7718, -1.179, -1.174, -1.161
Cu2135,ppm, -.7276,.0042,.5747, -.7295, -.7304, -.7228
Cu2230,ppm, .0049,.0049,101.3, .0019, .0105, .0021
Cu3247,ppm, .0093,.0034,37.00, .0064, .0084, .0131
Fe2599,ppm, -.0430,.0019,4.371, -.0435, -.0446, -.0409
Fe2599,ppm, -.0447,.0005,1.042, -.0442, -.0448, -.0451
Mg2802,ppm, .0691,.0014,1.988, .0694, .0676, .0703
Mg2852,ppm, .0680,.0009,1.321, .0675, .0690, .0674
Ni2216,ppm, 1.412,.0032,.2276, 1.415, 1.412, 1.408
Ni2316,ppm, 1.402,.0078,.5539, 1.410, 1.403, 1.395
Ni2320,ppm, 1.402,.0043,.3042, 1.397, 1.404, 1.404
Zn2062,ppm, .0549,.0013,2.314, .0534, .0554, .0558
Zn2062,ppm, .0554,.0006,1.171, .0558, .0557, .0546

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3

[Sample Header]
Method=董波-CuZnNiCoCaMgAsFe(v9)
SampleName=Sample-8
Username=admin
Comment=
Custom ID1=
Custom ID2=
Custom ID3=
Run Time=2017/5/8 10:02:16
Sample Type=Unk
Mode=CONC
CorrFactor=1.000
Repeats=3

[Results]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
As1890,ppm, .0077,.0054,69.59, .0016, .0115, .0100
As1937,ppm, .0009,.0070,788.2, .0087, -.0045, -.0015
Ca1840,ppm, .3589,.0060,1.666, .3631, .3520, .3614
Ca3158,ppm, .3430,.0074,2.158, .3416, .3364, .3510
Co2286,ppm, .0024,.0022,89.60, -.0001, .0033, .0039
Co2388,ppm, .0070,.0029,41.51, .0062, .0102, .0046
Cu2135,ppm, -.7062,.0047,.6602, -.7085, -.7009, -.7093
Cu2135,ppm, -.4373,.0039,.8853, -.4370, -.4336, -.4413
Cu2230,ppm, -.0037,.0018,48.95, -.0057, -.0024, -.0029
Cu3247,ppm, .0124,.0039,31.35, .0163, .0123, .0085
Fe2599,ppm, -.0464,.0030,6.406, -.0497, -.0456, -.0439
Fe2599,ppm, -.0458,.0005,1.082, -.0462, -.0452, -.0459
Mg2802,ppm, .0362,.0002,.5482, .0363, .0362, .0360
Mg2852,ppm, .0356,.0019,5.380, .0342, .0378, .0348
Ni2216,ppm, 2.179,.0113,.5165, 2.167, 2.190, 2.181
Ni2316,ppm, 2.159,.0066,.3075, 2.152, 2.161, 2.165
Ni2320,ppm, 2.150,.0018,.0826, 2.152, 2.149, 2.149
Zn2062,ppm, .0447,.0005,1.154, .0452, .0446, .0442
Zn2062,ppm, .0438,.0006,1.321, .0442, .0440, .0431

[Internal Standards]
Elem,Units,Avg,Stddev,RSD,Rep1,Rep2,Rep3
